电影排名,电影名称,电影年份,国家,电影类型,导演,经典影评,评论数,评分,电影网址
143,神偷奶爸,2010,美国 法国,喜剧 动画 冒险, 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,Mr. I Don't Care其实也有Care的时候。,984976人评价,8.7,https://movie.douban.com/subject/3287562/
144,色，戒,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色, 李安 Ang Lee,假戏真情，爱欲深海,872074人评价,8.7,https://movie.douban.com/subject/1828115/
145,九品芝麻官,1994,中国香港 中国大陆,剧情 喜剧 古装, 王晶 Jing Wong,None,725111人评价,8.7,https://movie.douban.com/subject/1297518/
146,哪吒闹海,1979,中国大陆,冒险 动画 奇幻, 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,想你时你在闹海。,274321人评价,9.2,https://movie.douban.com/subject/1307315/
147,告白,2010,日本,剧情 悬疑, 中岛哲也 Tetsuya Nakashima,没有一人完全善，也没有一人完全恶。,698597人评价,8.8,https://movie.douban.com/subject/4268598/
148,玛丽和马克思,2009,澳大利亚 美国,剧情 喜剧 动画, 亚当·艾略特 Adam Elliot,你是我最好的朋友，你是我唯一的朋友 。,434894人评价,9,https://movie.douban.com/subject/3072124/
149,喜宴,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭, 李安 Ang Lee,中国家庭的喜怒哀乐忍。,389017人评价,9,https://movie.douban.com/subject/1303037/
150,头脑特工队,2015,美国,喜剧 动画 冒险, 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen??&nb...,愿我们都不用长大，每一座城堡都能永远存在。,668341人评价,8.8,https://movie.douban.com/subject/10533913/
151,大鱼,2003,美国,剧情 家庭 奇幻 冒险, 蒂姆·波顿 Tim Burton,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,592091人评价,8.8,https://movie.douban.com/subject/1291545/
152,模仿游戏,2014,英国 美国,剧情 传记 战争 同性, 莫滕·泰杜姆 Morten Tyldum,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,678391人评价,8.8,https://movie.douban.com/subject/10463953/
153,头号玩家,2018,美国,动作 科幻 冒险, 史蒂文·斯皮尔伯格 Steven Spielberg,写给影迷，动漫迷和游戏迷的一封情书。,1424665人评价,8.6,https://movie.douban.com/subject/4920389/
154,花样年华,2000,中国香港,剧情 爱情, 王家卫 Kar Wai Wong,偷情本没有这样美。,649014人评价,8.8,https://movie.douban.com/subject/1291557/
155,射雕英雄传之东成西就,1993,中国香港,喜剧 奇幻 武侠 古装, 刘镇伟 Jeffrey Lau,百看不厌。 ,670420人评价,8.7,https://movie.douban.com/subject/1316510/
156,七武士,1954,日本,动作 冒险 剧情, 黑泽明 Akira Kurosawa,时代悲歌。,210267人评价,9.3,https://movie.douban.com/subject/1295399/
157,我是山姆,2001,美国,剧情 家庭, 杰茜·尼尔森 Jessie Nelson,爱并不需要智商 。,353698人评价,9,https://movie.douban.com/subject/1306861/
158,血战钢锯岭,2016,澳大利亚 美国,剧情 传记 历史 战争, 梅尔·吉布森 Mel Gibson,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,812316人评价,8.7,https://movie.douban.com/subject/26325320/
159,惊魂记,1960,美国,悬疑 惊悚 恐怖, 阿尔弗雷德·希区柯克 Alfred Hitchcock,故事的反转与反转，分裂电影的始祖。,318815人评价,9,https://movie.douban.com/subject/1293181/
160,阳光姐妹淘,2011,韩国,剧情 喜剧, 姜炯哲 Hyeong-Cheol Kang,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,608226人评价,8.8,https://movie.douban.com/subject/4917726/
161,恐怖直播,2013,韩国,剧情 犯罪 悬疑, 金秉祐 Byeong-woo Kim,恐怖分子的“秋菊打官司”。,684154人评价,8.7,https://movie.douban.com/subject/21360417/
162,黑客帝国3：矩阵革命,2003,美国,动作 科幻, 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,466668人评价,8.8,https://movie.douban.com/subject/1302467/
163,你的名字。,2016,日本,剧情 爱情 动画, 新海诚 Makoto Shinkai,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,1474330人评价,8.5,https://movie.douban.com/subject/26683290/
164,三块广告牌,2017,英国 美国,剧情 犯罪, 马丁·麦克唐纳 Martin McDonagh,怼天怼地，你走后，她与世界为敌。,860118人评价,8.7,https://movie.douban.com/subject/26611804/
165,电锯惊魂,2004,美国,悬疑 惊悚 恐怖, 詹姆斯·温 James Wan,真相就在眼前。,565033人评价,8.7,https://movie.douban.com/subject/1417598/
166,心迷宫,2014,中国大陆,剧情 犯罪 悬疑, 忻钰坤 Yukun Xin,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,560258人评价,8.8,https://movie.douban.com/subject/25917973/
167,达拉斯买家俱乐部,2013,美国,剧情 传记 同性, 让-马克·瓦雷 Jean-Marc Vallée,Jared Leto的腿比女人还美！,474488人评价,8.8,https://movie.douban.com/subject/1793929/
168,疯狂原始人,2013,美国,喜剧 动画 冒险, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,老少皆宜，这就是好莱坞动画的魅力。,872281人评价,8.7,https://movie.douban.com/subject/1907966/
169,谍影重重3,2007,美国 德国 法国 英国,动作 悬疑 惊悚, 保罗·格林格拉斯 Paul Greengrass,像吃了苏打饼一样干脆的电影。,438194人评价,8.8,https://movie.douban.com/subject/1578507/
170,小丑,2019,美国 加拿大,剧情 犯罪 惊悚, 托德·菲利普斯 Todd Phillips,None,1056492人评价,8.7,https://movie.douban.com/subject/27119724/
171,上帝之城,2002,巴西 法国,犯罪 剧情, 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund??&nbsp...,被上帝抛弃了的上帝之城。,313228人评价,9,https://movie.douban.com/subject/1292208/
172,英雄本色,1986,中国香港,剧情 动作 犯罪, 吴宇森 John Woo,英雄泪短，兄弟情长。 ,567162人评价,8.6,https://movie.douban.com/subject/1297574/
173,风之谷,1984,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,动画片的圣经。,371236人评价,8.9,https://movie.douban.com/subject/1291585/
174,背靠背，脸对脸,1994,中国大陆 中国香港,剧情, 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,None,150881人评价,9.5,https://movie.douban.com/subject/1307856/
175,绿里奇迹,1999,美国,犯罪 剧情 奇幻 悬疑, 弗兰克·德拉邦特 Frank Darabont,天使暂时离开。,353721人评价,8.9,https://movie.douban.com/subject/1300374/
176,心灵奇旅,2020,美国,动画 奇幻 音乐, 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,None,1041634人评价,8.7,https://movie.douban.com/subject/24733428/
177,爱在午夜降临前,2013,美国 希腊,剧情 爱情, 理查德·林克莱特 Richard Linklater,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,429345人评价,8.9,https://movie.douban.com/subject/10808442/
178,海街日记,2015,日本,剧情 家庭, 是枝裕和 Hirokazu Koreeda,是枝裕和的家庭习作。,475877人评价,8.8,https://movie.douban.com/subject/25895901/
179,纵横四海,1991,中国香港,剧情 喜剧 动作 犯罪, 吴宇森 John Woo,香港浪漫主义警匪动作片的巅峰之作。,446331人评价,8.8,https://movie.douban.com/subject/1295409/
180,卢旺达饭店,2004,英国 南非 意大利 美国,剧情 传记 历史 战争, 特瑞·乔治 Terry George,当这个世界闭上双眼，他却敞开了怀抱。,345534人评价,8.9,https://movie.douban.com/subject/1291822/
181,疯狂的石头,2006,中国大陆 中国香港,喜剧 犯罪, 宁浩 Hao Ning,中国版《两杆大烟枪》。,865018人评价,8.6,https://movie.douban.com/subject/1862151/
182,2001太空漫游,1968,英国 美国,科幻 惊悚 冒险, 斯坦利·库布里克 Stanley Kubrick,现代科幻电影的开山之作，最伟大导演的最伟大影片。,355851人评价,8.9,https://movie.douban.com/subject/1292226/
183,无间道2,2003,中国香港,剧情 犯罪 惊悚, 刘伟强 / 麦兆辉,None,514505人评价,8.8,https://movie.douban.com/subject/1307106/
184,记忆碎片,2000,美国,犯罪 剧情 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan,一个针管引发的血案。,630404人评价,8.7,https://movie.douban.com/subject/1304447/
185,雨中曲,1952,美国,喜剧 歌舞 爱情, 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,骨灰级歌舞片。,242215人评价,9.1,https://movie.douban.com/subject/1293460/
186,小偷家族,2018,日本,剧情 犯罪 家庭, 是枝裕和 Hirokazu Koreeda,我们组成了家。,848065人评价,8.7,https://movie.douban.com/subject/27622447/
187,岁月神偷,2010,中国香港 中国大陆,剧情 家庭, 罗启锐 Alex Law,岁月流逝，来日可追。,590195人评价,8.7,https://movie.douban.com/subject/3792799/
188,无敌破坏王,2012,美国,喜剧 动画 奇幻 冒险, 瑞奇·莫尔 Rich Moore,迪士尼和皮克斯拿错剧本的产物。,569804人评价,8.7,https://movie.douban.com/subject/6534248/
189,忠犬八公物语,1987,日本,剧情, 神山征二郎 Seijir? K?yama,养狗三日，便会对你终其一生。,204993人评价,9.2,https://movie.douban.com/subject/1959195/
190,荒蛮故事,2014,阿根廷 西班牙,剧情 喜剧 犯罪, 达米安·斯兹弗隆 Damián Szifron,始于荒诞，止于更荒诞。,464857人评价,8.8,https://movie.douban.com/subject/24750126/
191,冰川时代,2002,美国,喜剧 动画 冒险, 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,松鼠才是角儿。,644735人评价,8.6,https://movie.douban.com/subject/1291578/
192,牯岭街少年杀人事件,1991,中国台湾,剧情 犯罪, 杨德昌 Edward Yang,弱者送给弱者的一刀。,326997人评价,8.9,https://movie.douban.com/subject/1292329/
193,爆裂鼓手,2014,美国,剧情 音乐, 达米恩·查泽雷 Damien Chazelle,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,619802人评价,8.7,https://movie.douban.com/subject/25773932/
194,恐怖游轮,2009,英国 澳大利亚,剧情 悬疑 惊悚, 克里斯托弗·史密斯 Christopher Smith,不要企图在重复中寻找已经失去的爱。,914725人评价,8.5,https://movie.douban.com/subject/3011051/
195,东京教父,2003,日本,剧情 喜剧 动画, 今敏 Satoshi Kon,None,253703人评价,9,https://movie.douban.com/subject/1310177/
196,魔女宅急便,1989,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,486782人评价,8.7,https://movie.douban.com/subject/1307811/
197,大佛普拉斯,2017,中国台湾,剧情 喜剧, 黄信尧 Hsin-yao Huang,人们可以登上月球，却永远无法探索人们内心的宇宙。,501068人评价,8.7,https://movie.douban.com/subject/27059130/
198,贫民窟的百万富翁,2008,英国,剧情 爱情, 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,771217人评价,8.6,https://movie.douban.com/subject/2209573/
199,遗愿清单,2007,美国,冒险 喜剧 剧情, 罗伯·莱纳 Rob Reiner,用剩余不多的时间，去燃烧整个生命。,491764人评价,8.7,https://movie.douban.com/subject/1867345/
200,东邪西毒,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装, 王家卫 Kar Wai Wong,电影诗。,599584人评价,8.6,https://movie.douban.com/subject/1292328/
201,你看起来好像很好吃,2010,日本,剧情 动画 儿童, 藤森雅也 Masaya Fujimori,感情不分食草或者食肉。,349108人评价,8.9,https://movie.douban.com/subject/4848115/
202,末路狂花,1991,美国 英国 法国,犯罪 剧情 惊悚, 雷德利·斯科特 Ridley Scott,没有了退路，只好飞向自由。,289171人评价,8.9,https://movie.douban.com/subject/1291992/
203,可可西里,2004,中国大陆 中国香港,剧情 犯罪, 陆川 Chuan Lu,坚硬的信仰。,319252人评价,8.9,https://movie.douban.com/subject/1308857/
204,城市之光,1931,美国,喜剧 剧情 爱情, Charles Chaplin,永远的小人物，伟大的卓别林。,156877人评价,9.3,https://movie.douban.com/subject/1293908/
205,源代码,2011,美国 加拿大,科幻 悬疑 惊悚, 邓肯·琼斯 Duncan Jones,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,870427人评价,8.5,https://movie.douban.com/subject/3075287/
206,黑天鹅,2010,美国,剧情 惊悚, 达伦·阿罗诺夫斯基 Darren Aronofsky,黑暗之美。,807134人评价,8.6,https://movie.douban.com/subject/1978709/
207,海边的曼彻斯特,2016,美国,剧情 家庭, 肯尼斯·罗纳根 Kenneth Lonergan,我们都有权利不与自己的过去和解。,587417人评价,8.6,https://movie.douban.com/subject/25980443/
208,波西米亚狂想曲,2018,英国 美国,剧情 传记 同性 音乐, 布莱恩·辛格 Bryan Singer,None,641012人评价,8.6,https://movie.douban.com/subject/5300054/
209,疯狂的麦克斯4：狂暴之路,2015,澳大利亚 美国,动作 科幻 冒险, 乔治·米勒 George Miller,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,568635人评价,8.7,https://movie.douban.com/subject/3592854/
210,真爱至上,2003,英国 美国 法国,喜剧 剧情 爱情, 理查德·柯蒂斯 Richard Curtis,爱，是个动词。,764413人评价,8.5,https://movie.douban.com/subject/1292401/
211,雨人,1988,美国,剧情, 巴瑞·莱文森 Barry Levinson,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,420002人评价,8.7,https://movie.douban.com/subject/1291870/
212,青蛇,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装, 徐克 Hark Tsui,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,551998人评价,8.6,https://movie.douban.com/subject/1303394/
213,爱乐之城,2016,美国,剧情 爱情 歌舞, 达米恩·查泽雷 Damien Chazelle,None,999273人评价,8.4,https://movie.douban.com/subject/25934014/
214,初恋这件小事,2010,泰国,剧情 喜剧 爱情, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,黑小鸭速效美白记。,1007929人评价,8.5,https://movie.douban.com/subject/4739952/
215,芙蓉镇,1987,中国大陆,剧情 爱情, 谢晋 Jin Xie,None,157951人评价,9.3,https://movie.douban.com/subject/1297880/
216,人工智能,2001,美国 英国,剧情 科幻, 史蒂文·斯皮尔伯格 Steven Spielberg,对爱的执着，可以超越一切。,467806人评价,8.7,https://movie.douban.com/subject/1302827/
217,终结者2：审判日,1991,美国 法国,动作 科幻, 詹姆斯·卡梅隆 James Cameron,少见的超越首部的续集，动作片中的经典。,357645人评价,8.8,https://movie.douban.com/subject/1291844/
218,虎口脱险,1966,法国 英国,喜剧 战争, 杰拉尔·乌里 Gérard Oury,永远看不腻的喜剧。,272252人评价,8.9,https://movie.douban.com/subject/1296909/
219,恋恋笔记本,2004,美国,剧情 爱情, 尼克·卡索维茨 Nick Cassavetes,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,704315人评价,8.5,https://movie.douban.com/subject/1309163/
220,新龙门客栈,1992,中国香港 中国大陆,动作 爱情 武侠 古装, 李惠民 Raymond Lee,嬉笑怒骂，调风动月。,467939人评价,8.7,https://movie.douban.com/subject/1292287/
221,无耻混蛋,2009,德国 美国,剧情 犯罪, 昆汀·塔伦蒂诺 Quentin Tarantino,昆汀同学越来越变态了，比北野武还杜琪峰。,507111人评价,8.7,https://movie.douban.com/subject/1438652/
222,罗生门,1950,日本,剧情 犯罪 悬疑, 黑泽明 Akira Kurosawa,人生的N种可能性。,331938人评价,8.8,https://movie.douban.com/subject/1291879/
223,花束般的恋爱,2021,日本,剧情 爱情, 土井裕泰 Nobuhiro Doi,None,699226人评价,8.6,https://movie.douban.com/subject/34874432/
224,崖上的波妞,2008,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,None,529728人评价,8.6,https://movie.douban.com/subject/1959877/
225,千钧一发,1997,美国,剧情 科幻 惊悚, 安德鲁·尼科尔 Andrew Niccol,一部能引人思考的科幻励志片。,319529人评价,8.8,https://movie.douban.com/subject/1300117/
226,高山下的花环,1984(中国大陆) / 1985,中国大陆,剧情 战争, 谢晋 Jin Xie,None,111759人评价,9.5,https://movie.douban.com/subject/1422283/
227,彗星来的那一夜,2013,美国 英国,科幻 悬疑 惊悚, 詹姆斯·沃德·布柯特 James Ward Byrkit,小成本大魅力。,621479人评价,8.6,https://movie.douban.com/subject/25807345/
228,哈利·波特与死亡圣器(上),2010,英国 美国,奇幻 冒险, 大卫·叶茨 David Yates,最忠于原著的一部。,617381人评价,8.6,https://movie.douban.com/subject/2051007/
229,白日梦想家,2013,美国 英国,剧情 喜剧 冒险, 本·斯蒂勒 Ben Stiller,None,547209人评价,8.6,https://movie.douban.com/subject/2133323/
230,萤火虫之墓,1988,日本,动画 剧情 战争, 高畑勋 Isao Takahata,幸福是生生不息，却难以触及的远。 ,418277人评价,8.7,https://movie.douban.com/subject/1293318/
231,黑客帝国2：重装上阵,2003,美国,动作 科幻, 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,一个精彩的世界观正在缓缓建立。,425104人评价,8.7,https://movie.douban.com/subject/1304141/
232,奇迹男孩,2017,美国 中国香港,剧情 儿童 家庭, 斯蒂芬·卓博斯基 Stephen Chbosky,世界不完美，爱会有奇迹。,571320人评价,8.6,https://movie.douban.com/subject/26787574/
233,火星救援,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险, 雷德利·斯科特 Ridley Scott,None,772083人评价,8.5,https://movie.douban.com/subject/25864085/
234,二十二,2015,中国大陆,纪录片, 郭柯 Ke Guo,有一些东西不应该被遗忘。,301136人评价,8.7,https://movie.douban.com/subject/26430107/
235,战争之王,2005,美国 德国,剧情 犯罪, 安德鲁·尼科尔 Andrew Niccol,做一颗让别人需要你的棋子。,387516人评价,8.7,https://movie.douban.com/subject/1419936/
236,血钻,2006,美国 德国 英国,剧情 惊悚 冒险, 爱德华·兹威克 Edward Zwick,每个美丽事物背后都是滴血的现实。,397495人评价,8.7,https://movie.douban.com/subject/1428175/
237,步履不停,2008,日本,剧情 家庭, 是枝裕和 Hirokazu Koreeda,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,295391人评价,8.8,https://movie.douban.com/subject/2222996/
238,哈利·波特与凤凰社,2007,英国 美国,奇幻 冒险, 大卫·叶茨 David Yates,None,612927人评价,8.5,https://movie.douban.com/subject/1457217/
239,千年女优,2001,日本,动画 剧情 爱情, 今敏 Satoshi Kon,爱情是一场没有尽头的虚幻追逐。,288915人评价,8.8,https://movie.douban.com/subject/1307394/
240,大红灯笼高高挂,1991,中国大陆 中国香港 中国台湾,剧情, 张艺谋 Yimou Zhang,None,311293人评价,8.8,https://movie.douban.com/subject/1293323/
241,房间,2015,爱尔兰 加拿大 英国 美国,剧情 家庭, 伦尼·阿伯拉罕森 Lenny Abrahamson,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,381163人评价,8.8,https://movie.douban.com/subject/25724855/
242,魂断蓝桥,1940,美国,剧情 爱情 战争, 茂文·勒鲁瓦 Mervyn LeRoy,中国式内在的美国电影。,291675人评价,8.8,https://movie.douban.com/subject/1293964/
243,谍影重重2,2004,美国 德国,动作 悬疑 惊悚, 保罗·格林格拉斯 Paul Greengrass,谁说王家卫镜头很晃？,370385人评价,8.7,https://movie.douban.com/subject/1308767/
244,蜘蛛侠：平行宇宙,2018,美国,动作 科幻 动画 冒险, 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,None,704916人评价,8.6,https://movie.douban.com/subject/26374197/
245,弱点,2009,美国,剧情 家庭 传记 运动, 约翰·李·汉考克 John Lee Hancock,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,329679人评价,8.7,https://movie.douban.com/subject/3552028/
246,谍影重重,2002,美国 德国 捷克,动作 悬疑 惊悚, 道格·里曼 Doug Liman,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,450225人评价,8.6,https://movie.douban.com/subject/1304102/
247,阿飞正传,1990,中国香港,犯罪 剧情 爱情, 王家卫 Kar Wai Wong,王家卫是一种风格，张国荣是一个代表。,535916人评价,8.5,https://movie.douban.com/subject/1305690/
248,朗读者,2008,美国 德国,剧情 爱情, 史蒂芬·戴德利 Stephen Daldry,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,467903人评价,8.6,https://movie.douban.com/subject/2213597/
249,隐藏人物,2016,美国,剧情 传记 历史, 特奥多尔·梅尔菲 Theodore Melfi,None,234958人评价,8.9,https://movie.douban.com/subject/26615208/
250,再次出发之纽约遇见你,2013,美国,喜剧 爱情 音乐, 约翰·卡尼 John Carney,爱我就给我看你的播放列表。,445046人评价,8.6,https://movie.douban.com/subject/6874403/
